Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab Pegunungan Bintang,Papua,0.12%,"2,556"
Kab Timor Tengah Selatan,Nusa Tenggara Timur,0.85%,"27,775"
Kab. Aceh Barat,Aceh,0.64%,"25,587"
Kab. Aceh Barat Daya,Aceh,0.74%,"29,621"
Kab. Aceh Besar,Aceh,0.75%,"30,137"
Kab. Aceh Jaya,Aceh,0.24%,"9,545"
Kab. Aceh Selatan,Aceh,0.66%,"26,602"
Kab. Aceh Singkil,Aceh,0.44%,"17,759"
Kab. Aceh Tamiang,Aceh,0.75%,"30,106"
Kab. Aceh Tengah,Aceh,0.91%,"36,834"
Kab. Aceh Tenggara,Aceh,0.62%,"25,082"
Kab. Aceh Timur,Aceh,1.15%,"46,297"
Kab. Aceh Utara,Aceh,1.14%,"45,774"
Kab. Adm. Kep. Seribu,Jakarta Raya,0.26%,"21,834"
Kab. Agam,Sumatera Barat,0.56%,"24,740"
Kab. Alor,Nusa Tenggara Timur,0.32%,"12,322"
Kab. Asahan,Sumatera Utara,0.40%,"46,118"
Kab. Asmat,Papua,0.30%,"7,821"
Kab. Badung,Bali,13.63%,"464,162"
Kab. Balangan,Kalimantan Selatan,0.51%,"16,135"
Kab. Bandung,Jawa Barat,0.80%,"301,528"
Kab. Bandung Barat,Jawa Barat,0.67%,"252,832"
Kab. Banggai,Sulawesi Tengah,1.48%,"31,532"
Kab. Banggai Kepulauan,Sulawesi Tengah,0.49%,"10,408"
Kab. Banggai Laut,Sulawesi Tengah,0.25%,"5,237"
Kab. Bangka,Bangka Belitung,3.97%,"45,171"
Kab. Bangka Barat,Bangka Belitung,1.82%,"20,719"
Kab. Bangka Selatan,Bangka Belitung,1.22%,"13,924"
Kab. Bangka Tengah,Bangka Belitung,2.51%,"28,612"
Kab. Bangkalan,Jawa Timur,0.21%,"65,454"
Kab. Bangli,Bali,4.56%,"155,238"
Kab. Banjar,Kalimantan Selatan,1.09%,"34,544"
Kab. Banjarnegara,Jawa Tengah,0.30%,"87,002"
Kab. Bantaeng,Sulawesi Selatan,0.41%,"28,792"
Kab. Bantul,Yogyakarta,7.27%,"209,276"
Kab. Banyuasin,Sumatera Selatan,0.98%,"61,788"
Kab. Banyumas,Jawa Tengah,0.62%,"177,344"
Kab. Banyuwangi,Jawa Timur,1.42%,"451,902"
Kab. Barito Kuala,Kalimantan Selatan,0.78%,"24,596"
Kab. Barito Selatan,Kalimantan Tengah,1.05%,"21,319"
Kab. Barito Timur,Kalimantan Tengah,0.87%,"17,745"
Kab. Barito Utara,Kalimantan Tengah,0.94%,"19,131"
Kab. Barru,Sulawesi Selatan,0.42%,"29,623"
Kab. Batang,Jawa Tengah,0.28%,"81,712"
Kab. Batanghari,Jambi,2.56%,"68,667"
Kab. Batu Bara,Sumatera Utara,0.56%,"64,065"
Kab. Bekasi,Jawa Barat,0.89%,"337,876"
Kab. Belitung,Bangka Belitung,2.66%,"30,258"
Kab. Belitung Timur,Bangka Belitung,1.37%,"15,565"
Kab. Belu,Nusa Tenggara Timur,0.72%,"27,479"
Kab. Bener Meriah,Aceh,0.69%,"27,641"
Kab. Bengkalis,Riau,1.18%,"57,082"
Kab. Bengkayang,Kalimantan Barat,0.55%,"21,169"
Kab. Bengkulu Selatan,Bengkulu,1.05%,"16,350"
Kab. Bengkulu Tengah,Bengkulu,1.29%,"20,033"
Kab. Bengkulu Utara,Bengkulu,1.48%,"22,981"
Kab. Berau,Kalimantan Timur,1.14%,"32,895"
Kab. Biak Numfor,Papua,1.01%,"26,168"
Kab. Bima,Nusa Tenggara Barat,0.72%,"28,298"
Kab. Bintan,Kepulauan Riau,5.20%,"82,257"
Kab. Bireuen,Aceh,1.13%,"45,687"
Kab. Blitar,Jawa Timur,0.94%,"297,838"
Kab. Blora,Jawa Tengah,0.39%,"111,043"
Kab. Boalemo,Gorontalo,3.58%,"29,016"
Kab. Bogor,Jawa Barat,1.38%,"521,936"
Kab. Bojonegoro,Jawa Timur,0.52%,"166,954"
Kab. Bolaang Mongondow,Sulawesi Utara,1.15%,"23,848"
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,0.40%,"8,393"
Kab. Bolaang Mongondow Timur,Sulawesi Utara,0.57%,"11,815"
Kab. Bolaang Mongondow Utara,Sulawesi Utara,0.92%,"19,118"
