Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab Pegunungan Bintang,Papua,0.12%,"2,556"
Kab Timor Tengah Selatan,Nusa Tenggara Timur,0.85%,"27,774"
Kab. Aceh Barat,Aceh,0.63%,"25,560"
Kab. Aceh Barat Daya,Aceh,0.73%,"29,604"
Kab. Aceh Besar,Aceh,0.75%,"30,048"
Kab. Aceh Jaya,Aceh,0.24%,"9,483"
Kab. Aceh Selatan,Aceh,0.66%,"26,548"
Kab. Aceh Singkil,Aceh,0.44%,"17,679"
Kab. Aceh Tamiang,Aceh,0.74%,"29,955"
Kab. Aceh Tengah,Aceh,0.91%,"36,727"
Kab. Aceh Tenggara,Aceh,0.62%,"24,936"
Kab. Aceh Timur,Aceh,1.15%,"46,248"
Kab. Aceh Utara,Aceh,1.13%,"45,639"
Kab. Adm. Kep. Seribu,Jakarta Raya,0.26%,"21,826"
Kab. Agam,Sumatera Barat,0.56%,"24,730"
Kab. Alor,Nusa Tenggara Timur,0.32%,"12,322"
Kab. Asahan,Sumatera Utara,0.40%,"46,110"
Kab. Asmat,Papua,0.30%,"7,810"
Kab. Badung,Bali,13.61%,"463,470"
Kab. Balangan,Kalimantan Selatan,0.51%,"16,128"
Kab. Bandung,Jawa Barat,0.79%,"298,748"
Kab. Bandung Barat,Jawa Barat,0.66%,"252,038"
Kab. Banggai,Sulawesi Tengah,1.48%,"31,507"
Kab. Banggai Kepulauan,Sulawesi Tengah,0.49%,"10,368"
Kab. Banggai Laut,Sulawesi Tengah,0.24%,"5,231"
Kab. Bangka,Bangka Belitung,3.97%,"45,142"
Kab. Bangka Barat,Bangka Belitung,1.82%,"20,671"
Kab. Bangka Selatan,Bangka Belitung,1.22%,"13,829"
Kab. Bangka Tengah,Bangka Belitung,2.51%,"28,576"
Kab. Bangkalan,Jawa Timur,0.20%,"65,092"
Kab. Bangli,Bali,4.56%,"155,231"
Kab. Banjar,Kalimantan Selatan,1.09%,"34,533"
Kab. Banjarnegara,Jawa Tengah,0.30%,"86,421"
Kab. Bantaeng,Sulawesi Selatan,0.40%,"28,291"
Kab. Bantul,Yogyakarta,7.25%,"208,725"
Kab. Banyuasin,Sumatera Selatan,0.98%,"61,745"
Kab. Banyumas,Jawa Tengah,0.61%,"174,430"
Kab. Banyuwangi,Jawa Timur,1.41%,"448,999"
Kab. Barito Kuala,Kalimantan Selatan,0.77%,"24,426"
Kab. Barito Selatan,Kalimantan Tengah,1.05%,"21,315"
Kab. Barito Timur,Kalimantan Tengah,0.87%,"17,745"
Kab. Barito Utara,Kalimantan Tengah,0.94%,"19,071"
Kab. Barru,Sulawesi Selatan,0.42%,"29,617"
Kab. Batang,Jawa Tengah,0.28%,"81,076"
Kab. Batanghari,Jambi,2.55%,"68,610"
Kab. Batu Bara,Sumatera Utara,0.56%,"64,062"
Kab. Bekasi,Jawa Barat,0.88%,"334,944"
Kab. Belitung,Bangka Belitung,2.65%,"30,196"
Kab. Belitung Timur,Bangka Belitung,1.36%,"15,474"
Kab. Belu,Nusa Tenggara Timur,0.71%,"27,282"
Kab. Bener Meriah,Aceh,0.68%,"27,512"
Kab. Bengkalis,Riau,1.18%,"57,077"
Kab. Bengkayang,Kalimantan Barat,0.54%,"21,065"
Kab. Bengkulu Selatan,Bengkulu,1.05%,"16,349"
