Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab Pegunungan Bintang,Papua,0.10%,"2,584"
Kab Timor Tengah Selatan,Nusa Tenggara Timur,0.72%,"27,775"
Kab. Aceh Barat,Aceh,0.64%,"25,761"
Kab. Aceh Barat Daya,Aceh,0.75%,"30,153"
Kab. Aceh Besar,Aceh,0.76%,"30,493"
Kab. Aceh Jaya,Aceh,0.24%,"9,632"
Kab. Aceh Selatan,Aceh,0.67%,"26,793"
Kab. Aceh Singkil,Aceh,0.45%,"18,016"
Kab. Aceh Tamiang,Aceh,0.77%,"30,851"
Kab. Aceh Tengah,Aceh,0.92%,"36,983"
Kab. Aceh Tenggara,Aceh,0.65%,"26,082"
Kab. Aceh Timur,Aceh,1.16%,"46,646"
Kab. Aceh Utara,Aceh,1.15%,"46,496"
Kab. Adm. Kep. Seribu,Jakarta Raya,0.26%,"22,090"
Kab. Agam,Sumatera Barat,0.56%,"24,774"
Kab. Alor,Nusa Tenggara Timur,0.33%,"12,487"
Kab. Asahan,Sumatera Utara,0.42%,"47,794"
Kab. Asmat,Papua,0.32%,"8,246"
Kab. Badung,Bali,13.66%,"465,003"
Kab. Balangan,Kalimantan Selatan,0.51%,"16,137"
Kab. Bandung,Jawa Barat,0.84%,"320,009"
Kab. Bandung Barat,Jawa Barat,0.68%,"258,514"
Kab. Banggai,Sulawesi Tengah,1.48%,"31,651"
Kab. Banggai Kepulauan,Sulawesi Tengah,0.49%,"10,421"
Kab. Banggai Laut,Sulawesi Tengah,0.25%,"5,242"
Kab. Bangka,Bangka Belitung,3.97%,"45,184"
Kab. Bangka Barat,Bangka Belitung,1.86%,"21,126"
Kab. Bangka Selatan,Bangka Belitung,1.29%,"14,701"
Kab. Bangka Tengah,Bangka Belitung,2.54%,"28,923"
Kab. Bangkalan,Jawa Timur,0.22%,"68,890"
Kab. Bangli,Bali,4.57%,"155,470"
Kab. Banjar,Kalimantan Selatan,1.12%,"35,436"
Kab. Banjarnegara,Jawa Tengah,0.31%,"88,252"
Kab. Bantaeng,Sulawesi Selatan,0.43%,"30,629"
Kab. Bantul,Yogyakarta,7.37%,"212,376"
Kab. Banyuasin,Sumatera Selatan,0.99%,"62,165"
Kab. Banyumas,Jawa Tengah,0.64%,"184,257"
Kab. Banyuwangi,Jawa Timur,1.44%,"458,639"
Kab. Barito Kuala,Kalimantan Selatan,0.78%,"24,613"
Kab. Barito Selatan,Kalimantan Tengah,1.06%,"21,531"
Kab. Barito Timur,Kalimantan Tengah,0.87%,"17,765"
Kab. Barito Utara,Kalimantan Tengah,0.95%,"19,247"
Kab. Barru,Sulawesi Selatan,0.42%,"29,647"
Kab. Batang,Jawa Tengah,0.30%,"85,727"
Kab. Batanghari,Jambi,2.57%,"69,162"
