Batch,Measure Names,Provinsi,Achievement % Vaksin1,Divaksin 1,Target
LANSIA,Vaksinasi Dosis 1,Aceh,5.26%,"17,822","339,125"
LANSIA,Vaksinasi Dosis 1,Bali,56.37%,"256,432","454,904"
LANSIA,Vaksinasi Dosis 1,Bangka Belitung,24.91%,"23,881","95,863"
LANSIA,Vaksinasi Dosis 1,Banten,17.34%,"111,599","643,607"
LANSIA,Vaksinasi Dosis 1,Bengkulu,16.54%,"22,073","133,450"
LANSIA,Vaksinasi Dosis 1,Gorontalo,10.54%,"8,105","76,882"
LANSIA,Vaksinasi Dosis 1,Jakarta Raya,79.21%,"602,978","761,279"
LANSIA,Vaksinasi Dosis 1,Jambi,24.73%,"54,965","222,250"
LANSIA,Vaksinasi Dosis 1,Jawa Barat,17.24%,"587,625","3,408,940"
LANSIA,Vaksinasi Dosis 1,Jawa Tengah,29.14%,"1,072,780","3,681,475"
LANSIA,Vaksinasi Dosis 1,Jawa Timur,19.97%,"865,606","4,335,549"
LANSIA,Vaksinasi Dosis 1,Kalimantan Barat,9.90%,"34,735","350,692"
LANSIA,Vaksinasi Dosis 1,Kalimantan Selatan,8.96%,"23,176","258,552"
LANSIA,Vaksinasi Dosis 1,Kalimantan Tengah,29.01%,"40,910","141,016"
LANSIA,Vaksinasi Dosis 1,Kalimantan Timur,24.75%,"46,908","189,533"
LANSIA,Vaksinasi Dosis 1,Kalimantan Utara,20.05%,"6,668","33,254"
LANSIA,Vaksinasi Dosis 1,Kepulauan Riau,38.89%,"33,885","87,128"
LANSIA,Vaksinasi Dosis 1,Lampung,6.87%,"48,361","704,246"
LANSIA,Vaksinasi Dosis 1,Maluku,11.64%,"14,815","127,308"
LANSIA,Vaksinasi Dosis 1,Maluku Utara,5.33%,"3,961","74,323"
LANSIA,Vaksinasi Dosis 1,Nusa Tenggara Barat,15.53%,"57,166","368,117"
LANSIA,Vaksinasi Dosis 1,Nusa Tenggara Timur,9.34%,"37,883","405,566"
LANSIA,Vaksinasi Dosis 1,Papua,5.97%,"10,591","177,361"
LANSIA,Vaksinasi Dosis 1,Papua Barat,7.28%,"3,699","50,834"
LANSIA,Vaksinasi Dosis 1,Riau,14.31%,"46,138","322,466"
LANSIA,Vaksinasi Dosis 1,Sulawesi Barat,7.93%,"7,065","89,146"
LANSIA,Vaksinasi Dosis 1,Sulawesi Selatan,11.33%,"85,421","753,919"
LANSIA,Vaksinasi Dosis 1,Sulawesi Tengah,8.94%,"17,569","196,628"
LANSIA,Vaksinasi Dosis 1,Sulawesi Tenggara,7.98%,"12,547","157,296"
LANSIA,Vaksinasi Dosis 1,Sulawesi Utara,28.73%,"74,535","259,465"
LANSIA,Vaksinasi Dosis 1,Sumatera Barat,5.44%,"26,626","489,575"
LANSIA,Vaksinasi Dosis 1,Sumatera Selatan,15.81%,"94,409","597,071"
LANSIA,Vaksinasi Dosis 1,Sumatera Utara,18.58%,"203,192","1,093,446"
LANSIA,Vaksinasi Dosis 1,Yogyakarta,47.86%,"226,312","472,852"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Aceh,7.49%,"193,186","2,577,792"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Bali,46.85%,"1,020,197","2,177,755"
