Provinsi,Latitude (generated),Longitude (generated),Divaksin 1
Aceh,3.9124,97.1252,"689,562"
Bali,-8.4555,115.2714,"3,081,159"
Bangka Belitung,-2.3082,106.029,"218,927"
Banten,-6.4377,106.1342,"1,907,626"
Bengkulu,-3.6032,102.4738,"251,787"
Gorontalo,0.6726,122.2563,"208,647"
Jakarta Raya,-6.2313,106.8459,"8,205,952"
Jambi,-1.7595,102.5492,"655,968"
Jawa Barat,-6.869,107.6118,"6,438,364"
Jawa Tengah,-7.3085,109.8546,"5,317,342"
Jawa Timur,-7.7688,112.2786,"7,783,101"
Kalimantan Barat,-0.4802,111.106,"553,274"
Kalimantan Selatan,-2.7387,115.5414,"468,659"
Kalimantan Tengah,-1.3755,113.449,"444,415"
Kalimantan Timur,0.0978,116.1289,"561,822"
Kalimantan Utara,2.7253,116.4505,"97,896"
Kepulauan Riau,3.9307,108.1899,"1,043,204"
Lampung,-4.8343,105.1183,"633,511"
Maluku,-3.3243,130.2245,"219,224"
Maluku Utara,0.6539,127.9319,"121,984"
Nusa Tenggara Barat,-8.5953,117.2712,"587,313"
Nusa Tenggara Timur,-8.5103,120.5974,"597,928"
Papua,-5.3106,139.4134,"372,575"
Papua Barat,-2.2766,134.0471,"166,960"
Riau,0.7045,101.5788,"902,144"
Sulawesi Barat,-2.21,119.4106,"186,338"
Sulawesi Selatan,-3.7965,119.9485,"1,449,913"
Sulawesi Tengah,-0.9629,122.3906,"324,935"
Sulawesi Tenggara,-3.8409,121.8744,"378,324"
Sulawesi Utara,1.0217,124.6105,"755,702"
Sumatera Barat,-0.7839,100.878,"629,903"
Sumatera Selatan,-3.2787,104.2856,"974,287"
Sumatera Utara,2.2666,99.2632,"1,898,123"
Yogyakarta,-7.8726,110.4178,"1,208,432"
