Provinsi,Latitude (generated),Longitude (generated),Divaksin 1
Aceh,3.9124,97.1252,"559,444"
Bali,-8.4555,115.2714,"2,770,024"
Bangka Belitung,-2.3082,106.029,"183,343"
Banten,-6.4377,106.1342,"1,281,655"
Bengkulu,-3.6032,102.4738,"216,277"
Gorontalo,0.6726,122.2563,"186,121"
Jakarta Raya,-6.2313,106.8459,"6,063,688"
Jambi,-1.7595,102.5492,"500,441"
Jawa Barat,-6.869,107.6118,"4,607,488"
Jawa Tengah,-7.3085,109.8546,"4,155,023"
Jawa Timur,-7.7688,112.2786,"6,540,430"
Kalimantan Barat,-0.4802,111.106,"476,107"
Kalimantan Selatan,-2.7387,115.5414,"410,521"
Kalimantan Tengah,-1.3755,113.449,"407,803"
Kalimantan Timur,0.0978,116.1289,"470,078"
Kalimantan Utara,2.7253,116.4505,"77,967"
Kepulauan Riau,3.9307,108.1899,"936,772"
Lampung,-4.8343,105.1183,"567,269"
Maluku,-3.3243,130.2245,"174,794"
Maluku Utara,0.6539,127.9319,"90,782"
Nusa Tenggara Barat,-8.5953,117.2712,"501,105"
Nusa Tenggara Timur,-8.5103,120.5974,"483,640"
Papua,-5.3106,139.4134,"304,362"
Papua Barat,-2.2766,134.0471,"122,373"
Riau,0.7045,101.5788,"817,646"
Sulawesi Barat,-2.21,119.4106,"166,526"
Sulawesi Selatan,-3.7965,119.9485,"1,208,494"
Sulawesi Tengah,-0.9629,122.3906,"271,140"
Sulawesi Tenggara,-3.8409,121.8744,"332,535"
Sulawesi Utara,1.0217,124.6105,"695,896"
Sumatera Barat,-0.7839,100.878,"473,614"
Sumatera Selatan,-3.2787,104.2856,"850,572"
Sumatera Utara,2.2666,99.2632,"1,701,740"
Yogyakarta,-7.8726,110.4178,"936,352"
