Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Aceh Barat,Aceh,16.253303255,Polygon,Divaksin 1,4.411580483,96.195077848,"25,217","155,150","4,028,891"
Aceh Barat Daya,Aceh,25.028114351,MultiPolygon,Divaksin 1,3.797842025,96.799429156,"29,600","118,267","4,028,891"
Aceh Besar,Aceh,9.558935980,MultiPolygon,Divaksin 1,5.548803773,95.242956769,"29,377","307,325","4,028,891"
Aceh Jaya,Aceh,13.345476797,MultiPolygon,Divaksin 1,4.939043398,95.538599439,"9,378","70,271","4,028,891"
Aceh Selatan,Aceh,14.137634106,MultiPolygon,Divaksin 1,3.176431916,97.398304658,"26,105","184,649","4,028,891"
Aceh Singkil,Aceh,18.298202509,MultiPolygon,Divaksin 1,2.285238321,97.618353207,"16,980","92,796","4,028,891"
Aceh Tamiang,Aceh,13.074761750,MultiPolygon,Divaksin 1,4.279018493,98.030995145,"29,456","225,289","4,028,891"
Aceh Tengah,Aceh,22.266178446,Polygon,Divaksin 1,4.607602857,96.820591597,"36,303","163,041","4,028,891"
Aceh Tenggara,Aceh,14.113465873,Polygon,Divaksin 1,3.317745409,97.729886481,"23,668","167,698","4,028,891"
Aceh Timur,Aceh,14.684534854,Polygon,Divaksin 1,4.714751938,97.635166867,"45,825","312,063","4,028,891"
Aceh Utara,Aceh,9.754736071,Polygon,Divaksin 1,5.033442659,97.268811986,"44,736","458,608","4,028,891"
Agam,Sumatera Barat,5.710727752,MultiPolygon,Divaksin 1,-0.282881879,100.225340352,"24,672","432,029","4,408,509"
Alor,Nusa Tenggara Timur,8.163939510,MultiPolygon,Divaksin 1,-8.319910795,124.338002408,"12,109","148,323","3,831,439"
Ambon,Maluku,41.745990065,MultiPolygon,Divaksin 1,-3.699462792,128.194387737,"114,465","274,194","1,417,690"
Asahan,Sumatera Utara,7.820867756,Polygon,Divaksin 1,2.898225632,99.645601375,"46,075","589,129","11,419,559"
Asmat,Papua,14.435121486,MultiPolygon,Divaksin 1,-5.749068326,138.152797821,"7,260","50,294","2,583,771"
Badung,Bali,105.777273270,MultiPolygon,Divaksin 1,-8.562295133,115.193287416,"460,330","435,188","3,405,130"
Balangan,Kalimantan Selatan,15.995876165,Polygon,Divaksin 1,-2.266327555,115.645104341,"15,981","99,907","3,161,137"
Balikpapan,Kalimantan Timur,23.739977797,Polygon,Divaksin 1,-1.157310451,116.885949476,"125,099","526,955","2,874,401"
Banda Aceh,Aceh,48.098944237,Polygon,Divaksin 1,5.552296572,95.333423781,"91,527","190,289","4,028,891"
Bandar Lampung,Lampung,23.851888242,MultiPolygon,Divaksin 1,-5.426066675,105.267302902,"208,772","875,285","6,645,226"
Bandung,Jawa Barat,22.980901626,MultiPolygon,Divaksin 1,-6.978788384,107.654459394,"1,091,036","4,747,577","37,907,814"
