Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Aceh Barat,Aceh,15.946503384,Polygon,Divaksin 1,4.411580483,96.195077848,"24,741","155,150","4,028,891"
Aceh Barat Daya,Aceh,24.601959972,MultiPolygon,Divaksin 1,3.797842025,96.799429156,"29,096","118,267","4,028,891"
Aceh Besar,Aceh,9.295045961,MultiPolygon,Divaksin 1,5.548803773,95.242956769,"28,566","307,325","4,028,891"
Aceh Jaya,Aceh,12.928519588,MultiPolygon,Divaksin 1,4.939043398,95.538599439,"9,085","70,271","4,028,891"
Aceh Selatan,Aceh,13.833814426,MultiPolygon,Divaksin 1,3.176431916,97.398304658,"25,544","184,649","4,028,891"
Aceh Singkil,Aceh,18.046036467,MultiPolygon,Divaksin 1,2.285238321,97.618353207,"16,746","92,796","4,028,891"
Aceh Tamiang,Aceh,12.711672563,MultiPolygon,Divaksin 1,4.279018493,98.030995145,"28,638","225,289","4,028,891"
Aceh Tengah,Aceh,21.965027202,Polygon,Divaksin 1,4.607602857,96.820591597,"35,812","163,041","4,028,891"
Aceh Tenggara,Aceh,13.481973548,Polygon,Divaksin 1,3.317745409,97.729886481,"22,609","167,698","4,028,891"
Aceh Timur,Aceh,14.271156786,Polygon,Divaksin 1,4.714751938,97.635166867,"44,535","312,063","4,028,891"
Aceh Utara,Aceh,9.356356627,Polygon,Divaksin 1,5.033442659,97.268811986,"42,909","458,608","4,028,891"
Agam,Sumatera Barat,5.662814302,MultiPolygon,Divaksin 1,-0.282881879,100.225340352,"24,465","432,029","4,408,509"
Alor,Nusa Tenggara Timur,7.736494003,MultiPolygon,Divaksin 1,-8.319910795,124.338002408,"11,475","148,323","3,831,439"
Ambon,Maluku,40.554497910,MultiPolygon,Divaksin 1,-3.699462792,128.194387737,"111,198","274,194","1,417,690"
Asahan,Sumatera Utara,7.684225356,Polygon,Divaksin 1,2.898225632,99.645601375,"45,270","589,129","11,419,559"
Asmat,Papua,14.113015469,MultiPolygon,Divaksin 1,-5.749068326,138.152797821,"7,098","50,294","2,583,771"
Badung,Bali,104.990257084,MultiPolygon,Divaksin 1,-8.562295133,115.193287416,"456,905","435,188","3,405,130"
Balangan,Kalimantan Selatan,15.939824036,Polygon,Divaksin 1,-2.266327555,115.645104341,"15,925","99,907","3,161,137"
Balikpapan,Kalimantan Timur,22.928143769,Polygon,Divaksin 1,-1.157310451,116.885949476,"120,821","526,955","2,874,401"
Banda Aceh,Aceh,46.533430729,Polygon,Divaksin 1,5.552296572,95.333423781,"88,548","190,289","4,028,891"
Bandar Lampung,Lampung,23.502744820,MultiPolygon,Divaksin 1,-5.426066675,105.267302902,"205,716","875,285","6,645,226"
Bandung,Jawa Barat,21.823068904,MultiPolygon,Divaksin 1,-6.978788384,107.654459394,"1,036,067","4,747,577","37,907,814"
Bandung Barat,Jawa Barat,17.392434765,Polygon,Divaksin 1,-6.854048286,107.424730892,"242,829","1,396,176","37,907,814"
Banggai,Sulawesi Tengah,11.881285817,MultiPolygon,Divaksin 1,-0.877533974,122.781172184,"31,306","263,490","2,135,907"
Banggai Kepulauan,Sulawesi Tengah,12.003737663,MultiPolygon,Divaksin 1,-1.674319409,123.411677309,"10,277","85,615","2,135,907"
Bangka,Bangka Belitung,17.573610387,MultiPolygon,Divaksin 1,-1.837392470,105.903143710,"44,841","255,161","1,137,824"
Bangka Barat,Bangka Belitung,12.424177188,MultiPolygon,Divaksin 1,-1.894180171,105.561695122,"19,622","157,934","1,137,824"
Bangka Selatan,Bangka Belitung,7.800427052,MultiPolygon,Divaksin 1,-2.885310759,106.557871819,"12,165","155,953","1,137,824"
Bangka Tengah,Bangka Belitung,17.833725869,MultiPolygon,Divaksin 1,-2.409781550,106.233259564,"27,335","153,277","1,137,824"
Bangkalan,Jawa Timur,7.062701471,Polygon,Divaksin 1,-7.045764361,112.936306601,"58,280","825,180","31,826,206"
Bangli,Bali,75.093420380,Polygon,Divaksin 1,-8.339155202,115.353705191,"154,133","205,255","3,405,130"
Banjar,Jawa Barat,30.771485410,Polygon,Divaksin 1,-7.379696355,108.552579160,"49,343","160,353","37,907,814"
Banjar,Kalimantan Selatan,7.702639451,MultiPolygon,Divaksin 1,-3.277283585,114.945248444,"34,065","442,251","3,161,137"
Banjar Baru,Kalimantan Selatan,27.425877047,Polygon,Divaksin 1,-3.491364948,114.834623264,"53,512","195,115","3,161,137"
Banjarmasin,Kalimantan Selatan,26.305743839,Polygon,Divaksin 1,-3.302514254,114.602421838,"135,755","516,066","3,161,137"
Banjarnegara,Jawa Tengah,10.395778166,Polygon,Divaksin 1,-7.357844509,109.659635747,"83,071","799,084","28,727,805"
Bantaeng,Sulawesi Selatan,16.200691371,Polygon,Divaksin 1,-5.493762349,119.984946885,"25,073","154,765","7,058,141"
