Provinsi,Achievement Vaksin,Distinct count of Nama Daerah,GeoDetail,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Target Per Provisi
Aceh,0.187570703,1,MultiPolygon,Divaksin 2,3.9124,97.1252,"182,058","970,610"
Bali,1.067646299,1,MultiPolygon,Divaksin 2,-8.4555,115.2714,"764,344","715,915"
Bangka Belitung,0.468031785,1,MultiPolygon,Divaksin 2,-2.3082,106.029,"84,227","179,960"
Banten,0.301038866,1,MultiPolygon,Divaksin 2,-6.4377,106.1342,"490,939","1,630,816"
Bengkulu,0.213633503,1,MultiPolygon,Divaksin 2,-3.6032,102.4738,"65,183","305,116"
Gorontalo,0.393935423,1,MultiPolygon,Divaksin 2,0.6726,122.2563,"66,139","167,893"
Jakarta Raya,0.649237417,1,MultiPolygon,Divaksin 2,-6.2313,106.8459,"1,952,055","3,006,689"
Jambi,0.296040939,1,MultiPolygon,Divaksin 2,-1.7595,102.5492,"158,569","535,632"
Jawa Barat,0.307585641,1,MultiPolygon,Divaksin 2,-6.869,107.6118,"2,085,745","6,781,022"
Jawa Tengah,0.366486736,1,MultiPolygon,Divaksin 2,-7.3085,109.8546,"2,018,827","5,508,595"
Jawa Timur,0.493248913,1,MultiPolygon,Divaksin 2,-7.7688,112.2786,"2,373,570","4,812,114"
Kalimantan Barat,0.222260713,1,MultiPolygon,Divaksin 2,-0.4802,111.106,"161,041","724,559"
Kalimantan Selatan,0.291999192,1,MultiPolygon,Divaksin 2,-2.7387,115.5414,"198,127","678,519"
Kalimantan Tengah,0.463976587,1,MultiPolygon,Divaksin 2,-1.3755,113.449,"190,564","410,719"
Kalimantan Timur,0.407690864,1,MultiPolygon,Divaksin 2,0.0978,116.1289,"243,230","596,604"
Kalimantan Utara,0.407345277,,,Divaksin 2,2.7253,116.4505,"31,810","78,091"
Kepulauan Riau,0.497304841,1,MultiPolygon,Divaksin 2,3.9307,108.1899,"142,540","286,625"
Lampung,0.205163887,1,MultiPolygon,Divaksin 2,-4.8343,105.1183,"238,693","1,163,426"
Maluku,0.204949625,1,MultiPolygon,Divaksin 2,-3.3243,130.2245,"60,885","297,073"
Maluku Utara,0.182775209,1,MultiPolygon,Divaksin 2,0.6539,127.9319,"33,283","182,098"
Nusa Tenggara Barat,0.245343368,1,MultiPolygon,Divaksin 2,-8.5953,117.2712,"186,933","761,924"
Nusa Tenggara Timur,0.222368919,1,MultiPolygon,Divaksin 2,-8.5103,120.5974,"195,207","877,852"
Papua,0.232532619,1,MultiPolygon,Divaksin 2,-5.3106,139.4134,"130,741","562,248"
Papua Barat,0.324848664,1,MultiPolygon,Divaksin 2,-2.2766,134.0471,"50,551","155,614"
Riau,0.462286209,1,MultiPolygon,Divaksin 2,0.7045,101.5788,"446,035","964,846"
Sulawesi Barat,0.326457088,1,MultiPolygon,Divaksin 2,-2.21,119.4106,"62,162","190,414"
Sulawesi Selatan,0.324497988,1,MultiPolygon,Divaksin 2,-3.7965,119.9485,"488,901","1,506,638"
Sulawesi Tengah,0.220927576,1,MultiPolygon,Divaksin 2,-0.9629,122.3906,"104,455","472,802"
Sulawesi Tenggara,0.233954230,1,MultiPolygon,Divaksin 2,-3.8409,121.8744,"107,137","457,940"
Sulawesi Utara,0.393068496,1,MultiPolygon,Divaksin 2,1.0217,124.6105,"153,099","389,497"
Sumatera Barat,0.190301110,1,MultiPolygon,Divaksin 2,-0.7839,100.878,"166,456","874,698"
Sumatera Selatan,0.292739293,1,MultiPolygon,Divaksin 2,-3.2787,104.2856,"353,793","1,208,560"
Sumatera Utara,0.292016549,1,MultiPolygon,Divaksin 2,2.2666,99.2632,"651,208","2,230,038"
Yogyakarta,0.602560318,1,MultiPolygon,Divaksin 2,-7.8726,110.4178,"400,041","663,902"
