Provinsi,Tanggal,Running Sum of divaksin1 (ribu)
Aceh,1/15/2021,0.035
Aceh,1/17/2021,0.036
Aceh,1/18/2021,0.049
Aceh,1/19/2021,0.065
Aceh,1/20/2021,0.101
Aceh,1/21/2021,0.143
Aceh,1/22/2021,0.247
Aceh,1/23/2021,0.256
Aceh,1/24/2021,0.257
Aceh,1/25/2021,0.33
Aceh,1/26/2021,0.424
Aceh,1/27/2021,0.548
Aceh,1/28/2021,0.676
Aceh,1/29/2021,0.73
Aceh,1/30/2021,0.752
Aceh,1/31/2021,0.752
Aceh,2/1/2021,0.846
Aceh,2/2/2021,0.907
Aceh,2/3/2021,0.979
Aceh,2/4/2021,1.05
Aceh,2/5/2021,1.1
Aceh,2/6/2021,1.36
Aceh,2/7/2021,1.639
Aceh,2/8/2021,2.209
Aceh,2/9/2021,3.062
Aceh,2/10/2021,9.944
Aceh,2/11/2021,18.793
Aceh,2/12/2021,21.629
Aceh,2/13/2021,25.849
Aceh,2/14/2021,27.093
Aceh,2/15/2021,34.302
Aceh,2/16/2021,37.121
Aceh,2/17/2021,39.113
Aceh,2/18/2021,40.879
Aceh,2/19/2021,42.524
Aceh,2/20/2021,42.873
Aceh,2/21/2021,42.902
Aceh,2/22/2021,43.667
Aceh,2/23/2021,44.216
Aceh,2/24/2021,44.727
Aceh,2/25/2021,45.328
Aceh,2/26/2021,45.81
Aceh,2/27/2021,45.919
Aceh,2/28/2021,45.932
Aceh,3/1/2021,47.102
Aceh,3/2/2021,48.489
Aceh,3/3/2021,49.39
Aceh,3/4/2021,49.928
Aceh,3/5/2021,50.315
Aceh,3/6/2021,50.358
Aceh,3/7/2021,50.366
Aceh,3/8/2021,51.697
Aceh,3/9/2021,53.719
Aceh,3/10/2021,56.677
Aceh,3/11/2021,56.898
Aceh,3/12/2021,58.829
Aceh,3/13/2021,58.936
Aceh,3/14/2021,58.96
Aceh,3/15/2021,61.879
Aceh,3/16/2021,64.979
Aceh,3/17/2021,67.527
Aceh,3/18/2021,70.363
Aceh,3/19/2021,72.115
Aceh,3/20/2021,72.165
Aceh,3/21/2021,72.17
Aceh,3/22/2021,75.581
Aceh,3/23/2021,79.147
Aceh,3/24/2021,82.08
Aceh,3/25/2021,85.715
Aceh,3/26/2021,87.274
Aceh,3/27/2021,87.446
Aceh,3/28/2021,87.449
Aceh,3/29/2021,89.982
Aceh,3/30/2021,94.385
Aceh,3/31/2021,96.356
Aceh,4/1/2021,98.111
Aceh,4/2/2021,98.155
Aceh,4/3/2021,98.361
Aceh,4/4/2021,98.428
Aceh,4/5/2021,100.08
Aceh,4/6/2021,101.703
Aceh,4/7/2021,102.751
Aceh,4/8/2021,104.146
Aceh,4/9/2021,105.696
Aceh,4/10/2021,105.954
Aceh,4/11/2021,105.958
Aceh,4/12/2021,106.641
Aceh,4/13/2021,106.837
Aceh,4/14/2021,107.202
Aceh,4/15/2021,107.702
Aceh,4/16/2021,107.972
Aceh,4/17/2021,108.026
Aceh,4/18/2021,108.027
Aceh,4/19/2021,108.764
Aceh,4/20/2021,109.947
Aceh,4/21/2021,110.835
Aceh,4/22/2021,111.605
Aceh,4/23/2021,111.924
Aceh,4/24/2021,112.006
Aceh,4/25/2021,112.017
Bali,1/13/2021,0
Bali,1/14/2021,0.291
Bali,1/15/2021,0.661
Bali,1/16/2021,0.88
Bali,1/17/2021,0.889
Bali,1/18/2021,1.305
Bali,1/19/2021,1.868
Bali,1/20/2021,2.443
Bali,1/21/2021,3.114
Bali,1/22/2021,4.25
Bali,1/23/2021,4.994
Bali,1/24/2021,5.228
Bali,1/25/2021,6.318
Bali,1/26/2021,7.797
Bali,1/27/2021,10.607
Bali,1/28/2021,14.095
Bali,1/29/2021,17.624
Bali,1/30/2021,18.293
Bali,1/31/2021,18.692
Bali,2/1/2021,22.02
Bali,2/2/2021,25.24
Bali,2/3/2021,25.897
Bali,2/4/2021,28.592
Bali,2/5/2021,31.139
Bali,2/6/2021,32.158
Bali,2/7/2021,32.505
Bali,2/8/2021,33.301
Bali,2/9/2021,33.951
