Provinsi,Tanggal,Running Sum of divaksin1 (ribu),divaksin1 (ribu)
Aceh,1/15/2021,0.035,0.035
Aceh,1/17/2021,0.036,0.001
Aceh,1/18/2021,0.049,0.013
Aceh,1/19/2021,0.065,0.016
Aceh,1/20/2021,0.101,0.036
Aceh,1/21/2021,0.143,0.042
Aceh,1/22/2021,0.247,0.104
Aceh,1/23/2021,0.256,0.009
Aceh,1/24/2021,0.257,0.001
Aceh,1/25/2021,0.33,0.073
Aceh,1/26/2021,0.424,0.094
Aceh,1/27/2021,0.548,0.124
Aceh,1/28/2021,0.676,0.128
Aceh,1/29/2021,0.73,0.054
Aceh,1/30/2021,0.752,0.022
Aceh,1/31/2021,0.752,0
Aceh,2/1/2021,0.846,0.094
Aceh,2/2/2021,0.907,0.061
Aceh,2/3/2021,0.979,0.072
Aceh,2/4/2021,1.05,0.071
Aceh,2/5/2021,1.1,0.05
Aceh,2/6/2021,1.36,0.26
Aceh,2/7/2021,1.639,0.279
Aceh,2/8/2021,2.209,0.57
Aceh,2/9/2021,3.062,0.853
Aceh,2/10/2021,9.944,6.882
Aceh,2/11/2021,18.793,8.849
Aceh,2/12/2021,21.629,2.836
Aceh,2/13/2021,25.849,4.22
Aceh,2/14/2021,27.094,1.245
Aceh,2/15/2021,34.31,7.216
Aceh,2/16/2021,37.129,2.819
Aceh,2/17/2021,39.121,1.992
Aceh,2/18/2021,40.888,1.767
Aceh,2/19/2021,42.534,1.646
Aceh,2/20/2021,42.883,0.349
Aceh,2/21/2021,42.912,0.029
Aceh,2/22/2021,43.678,0.766
Aceh,2/23/2021,44.227,0.549
Aceh,2/24/2021,44.738,0.511
Aceh,2/25/2021,45.339,0.601
Aceh,2/26/2021,45.821,0.482
Aceh,2/27/2021,45.93,0.109
Aceh,2/28/2021,45.943,0.013
Aceh,3/1/2021,47.115,1.172
Aceh,3/2/2021,48.502,1.387
Aceh,3/3/2021,49.403,0.901
Aceh,3/4/2021,49.941,0.538
Aceh,3/5/2021,50.328,0.387
Aceh,3/6/2021,50.371,0.043
Aceh,3/7/2021,50.379,0.008
Aceh,3/8/2021,51.71,1.331
Aceh,3/9/2021,53.732,2.022
Aceh,3/10/2021,56.69,2.958
Aceh,3/11/2021,56.911,0.221
Aceh,3/12/2021,58.842,1.931
Aceh,3/13/2021,58.949,0.107
Aceh,3/14/2021,58.973,0.024
Aceh,3/15/2021,61.896,2.923
Aceh,3/16/2021,64.998,3.102
Aceh,3/17/2021,67.546,2.548
Aceh,3/18/2021,70.382,2.836
Aceh,3/19/2021,72.134,1.752
Aceh,3/20/2021,72.184,0.05
Aceh,3/21/2021,72.189,0.005
Aceh,3/22/2021,75.6,3.411
Aceh,3/23/2021,79.167,3.567
Aceh,3/24/2021,82.101,2.934
Aceh,3/25/2021,85.737,3.636
Aceh,3/26/2021,87.297,1.56
Aceh,3/27/2021,87.469,0.172
Aceh,3/28/2021,87.472,0.003
Aceh,3/29/2021,90.006,2.534
Aceh,3/30/2021,94.412,4.406
Aceh,3/31/2021,96.383,1.971
Aceh,4/1/2021,98.138,1.755
Aceh,4/2/2021,98.183,0.045
Aceh,4/3/2021,98.389,0.206
Aceh,4/4/2021,98.456,0.067
Aceh,4/5/2021,100.108,1.652
Aceh,4/6/2021,101.731,1.623
Aceh,4/7/2021,102.779,1.048
Aceh,4/8/2021,104.175,1.396
Aceh,4/9/2021,105.725,1.55
Aceh,4/10/2021,105.983,0.258
Aceh,4/11/2021,105.987,0.004
Aceh,4/12/2021,106.67,0.683
Aceh,4/13/2021,106.867,0.197
Aceh,4/14/2021,107.232,0.365
Aceh,4/15/2021,107.732,0.5
Aceh,4/16/2021,108.002,0.27
Aceh,4/17/2021,108.056,0.054
Aceh,4/18/2021,108.057,0.001
Aceh,4/19/2021,108.794,0.737
Aceh,4/20/2021,109.977,1.183
Aceh,4/21/2021,110.865,0.888
Aceh,4/22/2021,111.635,0.77
Aceh,4/23/2021,111.954,0.319
Aceh,4/24/2021,112.036,0.082
Aceh,4/25/2021,112.047,0.011
Aceh,4/26/2021,112.984,0.937
Aceh,4/27/2021,113.525,0.541
Aceh,4/28/2021,114.2,0.675
Aceh,4/29/2021,115.197,0.997
Aceh,4/30/2021,115.691,0.494
Aceh,5/1/2021,115.743,0.052
Aceh,5/2/2021,115.746,0.003
Aceh,5/3/2021,116.605,0.859
Aceh,5/4/2021,117.157,0.552
Aceh,5/5/2021,117.704,0.547
Aceh,5/6/2021,118.219,0.515
Aceh,5/7/2021,118.596,0.377
Aceh,5/8/2021,118.763,0.167
Aceh,5/9/2021,118.764,0.001
Aceh,5/10/2021,119.292,0.528
Aceh,5/11/2021,119.402,0.11
Aceh,5/12/2021,119.406,0.004
Aceh,5/13/2021,119.407,0.001
Aceh,5/14/2021,119.41,0.003
Aceh,5/15/2021,119.41,0
Aceh,5/17/2021,119.607,0.197
Aceh,5/18/2021,120.273,0.666
Aceh,5/19/2021,121.387,1.114
Aceh,5/20/2021,122.588,1.201
Aceh,5/21/2021,123.361,0.773
Aceh,5/22/2021,123.428,0.067
Aceh,5/23/2021,123.43,0.002
Aceh,5/24/2021,124.245,0.815
Aceh,5/25/2021,125.407,1.162
Aceh,5/26/2021,125.412,0.005
Aceh,5/27/2021,127.992,2.58
Aceh,5/28/2021,128.593,0.601
Aceh,5/29/2021,128.739,0.146
Aceh,5/30/2021,128.752,0.013
Aceh,5/31/2021,129.931,1.179
Aceh,6/1/2021,129.961,0.03
Aceh,6/2/2021,131.453,1.492
Aceh,6/3/2021,136.064,4.611
Aceh,6/4/2021,142.74,6.676
Aceh,6/5/2021,151.344,8.604
Aceh,6/6/2021,160.73,9.386
Aceh,6/7/2021,184.212,23.482
Aceh,6/8/2021,198.371,14.159
Aceh,6/9/2021,210.391,12.02
Aceh,6/10/2021,221.942,11.551
Aceh,6/11/2021,233.648,11.706
Aceh,6/12/2021,237.217,3.569
Aceh,6/13/2021,238.781,1.564
Aceh,6/14/2021,250.04,11.259
Aceh,6/15/2021,259.126,9.086
Aceh,6/16/2021,265.973,6.847
Aceh,6/17/2021,273.067,7.094
Aceh,6/18/2021,278.592,5.525
Aceh,6/19/2021,280.82,2.228
Aceh,6/20/2021,281.267,0.447
Aceh,6/21/2021,288.874,7.607
Aceh,6/22/2021,297.026,8.152
Aceh,6/23/2021,305.773,8.747
Aceh,6/24/2021,313.407,7.634
Aceh,6/25/2021,320.123,6.716
Aceh,6/26/2021,355.839,35.716
Aceh,6/27/2021,358.245,2.406
Aceh,6/28/2021,373.072,14.827
Aceh,6/29/2021,385.164,12.092
Aceh,6/30/2021,399.084,13.92
Aceh,7/1/2021,411.991,12.907
Aceh,7/2/2021,420.969,8.978
Aceh,7/3/2021,430.095,9.126
Aceh,7/4/2021,432.528,2.433
Aceh,7/5/2021,443.439,10.911
Aceh,7/6/2021,455.656,12.217
Aceh,7/7/2021,466.935,11.279
Aceh,7/8/2021,481.005,14.07
Aceh,7/9/2021,492.063,11.058
Aceh,7/10/2021,503.831,11.768
Aceh,7/11/2021,505.974,2.143
Aceh,7/12/2021,525.396,19.422
Aceh,7/13/2021,545.142,19.746
Aceh,7/14/2021,559.444,14.302
Bali,1/13/2021,0,0
Bali,1/14/2021,0.291,0.291
