Kab/kota,Provinsi,Achievement % Vaksin2,Divaksin 2
Kab Pegunungan Bintang,Papua,0.06%,"1,531"
Kab Timor Tengah Selatan,Nusa Tenggara Timur,0.38%,"14,743"
Kab. Aceh Barat,Aceh,0.30%,"11,998"
Kab. Aceh Barat Daya,Aceh,0.26%,"10,573"
Kab. Aceh Besar,Aceh,0.28%,"11,447"
Kab. Aceh Jaya,Aceh,0.13%,"5,293"
Kab. Aceh Selatan,Aceh,0.29%,"11,750"
Kab. Aceh Singkil,Aceh,0.20%,"8,059"
Kab. Aceh Tamiang,Aceh,0.35%,"14,206"
Kab. Aceh Tengah,Aceh,0.33%,"13,185"
Kab. Aceh Tenggara,Aceh,0.21%,"8,603"
Kab. Aceh Timur,Aceh,0.43%,"17,404"
Kab. Aceh Utara,Aceh,0.49%,"19,727"
Kab. Adm. Kep. Seribu,Jakarta Raya,0.12%,"9,811"
Kab. Agam,Sumatera Barat,0.30%,"13,011"
Kab. Alor,Nusa Tenggara Timur,0.20%,"7,824"
Kab. Asahan,Sumatera Utara,0.27%,"30,442"
Kab. Asmat,Papua,0.17%,"4,503"
Kab. Badung,Bali,6.89%,"234,502"
Kab. Balangan,Kalimantan Selatan,0.26%,"8,170"
Kab. Bandung,Jawa Barat,0.45%,"171,701"
Kab. Bandung Barat,Jawa Barat,0.39%,"149,410"
Kab. Banggai,Sulawesi Tengah,0.64%,"13,635"
Kab. Banggai Kepulauan,Sulawesi Tengah,0.16%,"3,320"
Kab. Banggai Laut,Sulawesi Tengah,0.14%,"3,023"
Kab. Bangka,Bangka Belitung,2.92%,"33,223"
Kab. Bangka Barat,Bangka Belitung,1.33%,"15,138"
Kab. Bangka Selatan,Bangka Belitung,0.55%,"6,236"
Kab. Bangka Tengah,Bangka Belitung,1.76%,"20,008"
Kab. Bangkalan,Jawa Timur,0.11%,"35,544"
Kab. Bangli,Bali,1.16%,"39,583"
Kab. Banjar,Kalimantan Selatan,0.66%,"20,918"
Kab. Banjarnegara,Jawa Tengah,0.21%,"60,625"
Kab. Bantaeng,Sulawesi Selatan,0.20%,"14,215"
Kab. Bantul,Yogyakarta,3.36%,"96,810"
Kab. Banyuasin,Sumatera Selatan,0.49%,"31,056"
Kab. Banyumas,Jawa Tengah,0.44%,"127,281"
Kab. Banyuwangi,Jawa Timur,0.21%,"66,326"
Kab. Barito Kuala,Kalimantan Selatan,0.44%,"13,907"
Kab. Barito Selatan,Kalimantan Tengah,0.82%,"16,637"
Kab. Barito Timur,Kalimantan Tengah,0.62%,"12,564"
Kab. Barito Utara,Kalimantan Tengah,0.69%,"13,984"
Kab. Barru,Sulawesi Selatan,0.17%,"12,017"
Kab. Batang,Jawa Tengah,0.18%,"52,662"
Kab. Batanghari,Jambi,0.87%,"23,379"
Kab. Batu Bara,Sumatera Utara,0.33%,"38,076"
Kab. Bekasi,Jawa Barat,0.44%,"165,097"
Kab. Belitung,Bangka Belitung,1.28%,"14,533"
Kab. Belitung Timur,Bangka Belitung,0.96%,"10,921"
Kab. Belu,Nusa Tenggara Timur,0.46%,"17,557"
Kab. Bener Meriah,Aceh,0.25%,"10,130"
Kab. Bengkalis,Riau,0.69%,"33,483"
Kab. Bengkayang,Kalimantan Barat,0.28%,"10,940"
Kab. Bengkulu Selatan,Bengkulu,0.57%,"8,843"
Kab. Bengkulu Tengah,Bengkulu,0.49%,"7,588"
Kab. Bengkulu Utara,Bengkulu,0.83%,"12,870"
Kab. Berau,Kalimantan Timur,0.74%,"21,354"
Kab. Biak Numfor,Papua,0.54%,"13,865"
Kab. Bima,Nusa Tenggara Barat,0.22%,"8,532"
Kab. Bintan,Kepulauan Riau,2.11%,"33,332"
Kab. Bireuen,Aceh,0.48%,"19,283"
Kab. Blitar,Jawa Timur,0.15%,"46,446"
Kab. Blora,Jawa Tengah,0.21%,"60,095"
Kab. Boalemo,Gorontalo,1.23%,"11,564"
Kab. Bogor,Jawa Barat,0.66%,"248,989"
Kab. Bojonegoro,Jawa Timur,0.23%,"74,187"
Kab. Bolaang Mongondow,Sulawesi Utara,0.27%,"5,553"
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,0.13%,"2,618"
Kab. Bolaang Mongondow Timur,Sulawesi Utara,0.20%,"4,190"
Kab. Bolaang Mongondow Utara,Sulawesi Utara,0.18%,"3,665"
Kab. Bombana,Sulawesi Tenggara,0.39%,"7,744"
Kab. Bondowoso,Jawa Timur,0.12%,"38,981"
Kab. Bone,Sulawesi Selatan,0.71%,"49,928"
Kab. Bone Bolango,Gorontalo,1.50%,"14,059"
Kab. Boven Digoel,Papua,0.16%,"4,126"
Kab. Boyolali,Jawa Tengah,0.24%,"68,417"
Kab. Brebes,Jawa Tengah,0.27%,"77,296"
Kab. Buleleng,Bali,2.48%,"84,281"
Kab. Bulukumba,Sulawesi Selatan,0.24%,"16,940"
Kab. Bulungan,Kalimantan Utara,2.73%,"14,879"
Kab. Bungo,Jambi,0.68%,"18,224"
Kab. Buol,Sulawesi Tengah,0.46%,"9,916"
Kab. Buru,Maluku,0.25%,"3,578"
Kab. Buru Selatan,Maluku,0.11%,"1,498"
Kab. Buton,Sulawesi Tenggara,0.25%,"4,979"
Kab. Buton Selatan,Sulawesi Tenggara,0.16%,"3,285"
Kab. Buton Tengah,Sulawesi Tenggara,0.16%,"3,171"
Kab. Buton Utara,Sulawesi Tenggara,0.15%,"2,999"
Kab. Ciamis,Jawa Barat,0.16%,"60,746"
Kab. Cianjur,Jawa Barat,0.25%,"95,878"
Kab. Cilacap,Jawa Tengah,0.41%,"116,818"
Kab. Cirebon,Jawa Barat,0.29%,"108,442"
Kab. Dairi,Sumatera Utara,0.20%,"23,354"
Kab. Deiyai,Papua,0.01%,270
Kab. Deli Serdang,Sumatera Utara,0.78%,"88,831"
Kab. Demak,Jawa Tengah,0.30%,"85,260"
Kab. Dharmasraya,Sumatera Barat,0.25%,"11,124"
Kab. Dogiyai,Papua,0.04%,"1,049"
Kab. Dompu,Nusa Tenggara Barat,0.20%,"7,732"
Kab. Donggala,Sulawesi Tengah,0.30%,"6,471"
Kab. Empat Lawang,Sumatera Selatan,0.15%,"9,207"
Kab. Ende,Nusa Tenggara Timur,0.21%,"8,112"
Kab. Enrekang,Sulawesi Selatan,0.24%,"17,043"
Kab. Fak Fak,Papua Barat,0.61%,"4,832"
Kab. Flores Timur,Nusa Tenggara Timur,0.27%,"10,171"
Kab. Garut,Jawa Barat,0.24%,"90,669"
Kab. Gayo Lues,Aceh,0.15%,"5,980"
Kab. Gianyar,Bali,3.59%,"122,120"
Kab. Gorontalo,Gorontalo,2.42%,"22,691"
Kab. Gorontalo Utara,Gorontalo,1.15%,"10,779"
Kab. Gowa,Sulawesi Selatan,0.37%,"26,299"
Kab. Gresik,Jawa Timur,0.23%,"74,620"
Kab. Grobogan,Jawa Tengah,0.27%,"77,393"
Kab. Gunung Mas,Kalimantan Tengah,0.55%,"11,229"
Kab. Gunungkidul,Yogyakarta,1.78%,"51,234"
