Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab Pegunungan Bintang,Papua,0.11%,"2,481"
Kab Timor Tengah Selatan,Nusa Tenggara Timur,0.85%,"27,760"
Kab. Aceh Barat,Aceh,0.62%,"25,080"
Kab. Aceh Barat Daya,Aceh,0.73%,"29,600"
Kab. Aceh Besar,Aceh,0.72%,"29,200"
Kab. Aceh Jaya,Aceh,0.23%,"9,363"
Kab. Aceh Selatan,Aceh,0.65%,"26,035"
Kab. Aceh Singkil,Aceh,0.42%,"16,902"
Kab. Aceh Tamiang,Aceh,0.73%,"29,280"
Kab. Aceh Tengah,Aceh,0.90%,"36,139"
Kab. Aceh Tenggara,Aceh,0.58%,"23,513"
Kab. Aceh Timur,Aceh,1.13%,"45,677"
Kab. Aceh Utara,Aceh,1.11%,"44,538"
Kab. Adm. Kep. Seribu,Jakarta Raya,0.26%,"21,547"
Kab. Agam,Sumatera Barat,0.56%,"24,656"
Kab. Alor,Nusa Tenggara Timur,0.31%,"12,042"
Kab. Asahan,Sumatera Utara,0.40%,"46,052"
Kab. Asmat,Papua,0.28%,"7,252"
Kab. Badung,Bali,13.52%,"460,220"
Kab. Balangan,Kalimantan Selatan,0.51%,"15,979"
Kab. Bandung,Jawa Barat,0.72%,"274,674"
Kab. Bandung Barat,Jawa Barat,0.65%,"247,265"
Kab. Banggai,Sulawesi Tengah,1.47%,"31,404"
Kab. Banggai Kepulauan,Sulawesi Tengah,0.48%,"10,297"
Kab. Banggai Laut,Sulawesi Tengah,0.24%,"5,224"
Kab. Bangka,Bangka Belitung,3.95%,"44,985"
Kab. Bangka Barat,Bangka Belitung,1.74%,"19,821"
Kab. Bangka Selatan,Bangka Belitung,1.10%,"12,505"
Kab. Bangka Tengah,Bangka Belitung,2.42%,"27,591"
Kab. Bangkalan,Jawa Timur,0.19%,"60,908"
Kab. Bangli,Bali,4.55%,"155,005"
Kab. Banjar,Kalimantan Selatan,1.08%,"34,270"
Kab. Banjarnegara,Jawa Tengah,0.29%,"83,981"
Kab. Bantaeng,Sulawesi Selatan,0.37%,"25,838"
Kab. Bantul,Yogyakarta,6.97%,"200,788"
Kab. Banyuasin,Sumatera Selatan,0.96%,"60,435"
Kab. Banyumas,Jawa Tengah,0.59%,"169,816"
Kab. Banyuwangi,Jawa Timur,1.36%,"431,396"
Kab. Barito Kuala,Kalimantan Selatan,0.77%,"24,344"
Kab. Barito Selatan,Kalimantan Tengah,1.04%,"21,170"
Kab. Barito Timur,Kalimantan Tengah,0.87%,"17,731"
Kab. Barito Utara,Kalimantan Tengah,0.92%,"18,785"
Kab. Barru,Sulawesi Selatan,0.42%,"29,443"
Kab. Batang,Jawa Tengah,0.27%,"77,480"
Kab. Batanghari,Jambi,2.50%,"67,202"
Kab. Batu Bara,Sumatera Utara,0.56%,"63,800"
Kab. Bekasi,Jawa Barat,0.81%,"308,805"
Kab. Belitung,Bangka Belitung,2.40%,"27,304"
Kab. Belitung Timur,Bangka Belitung,1.36%,"15,425"
Kab. Belu,Nusa Tenggara Timur,0.65%,"25,051"
Kab. Bener Meriah,Aceh,0.68%,"27,387"
Kab. Bengkalis,Riau,1.17%,"56,697"
Kab. Bengkayang,Kalimantan Barat,0.54%,"20,901"
Kab. Bengkulu Selatan,Bengkulu,1.05%,"16,343"
Kab. Bengkulu Tengah,Bengkulu,1.23%,"19,175"
Kab. Bengkulu Utara,Bengkulu,1.47%,"22,886"
Kab. Berau,Kalimantan Timur,1.14%,"32,699"
Kab. Biak Numfor,Papua,1.00%,"25,829"
Kab. Bima,Nusa Tenggara Barat,0.67%,"26,266"
Kab. Bintan,Kepulauan Riau,5.02%,"79,316"
Kab. Bireuen,Aceh,1.11%,"44,704"
Kab. Blitar,Jawa Timur,0.92%,"293,833"
Kab. Blora,Jawa Tengah,0.37%,"105,263"
Kab. Boalemo,Gorontalo,3.42%,"27,730"
Kab. Bogor,Jawa Barat,1.27%,"483,280"
Kab. Bojonegoro,Jawa Timur,0.52%,"165,251"
Kab. Bolaang Mongondow,Sulawesi Utara,1.12%,"23,281"
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,0.39%,"8,107"
Kab. Bolaang Mongondow Timur,Sulawesi Utara,0.57%,"11,800"
Kab. Bolaang Mongondow Utara,Sulawesi Utara,0.91%,"19,011"
Kab. Bombana,Sulawesi Tenggara,1.25%,"25,011"
Kab. Bondowoso,Jawa Timur,0.24%,"77,178"
Kab. Bone,Sulawesi Selatan,1.22%,"86,321"
Kab. Bone Bolango,Gorontalo,3.12%,"29,246"
Kab. Boven Digoel,Papua,0.26%,"6,603"
Kab. Boyolali,Jawa Tengah,0.40%,"115,159"
Kab. Brebes,Jawa Tengah,0.56%,"159,517"
Kab. Buleleng,Bali,13.58%,"462,570"
Kab. Bulukumba,Sulawesi Selatan,0.65%,"46,037"
Kab. Bulungan,Kalimantan Utara,4.94%,"26,982"
Kab. Bungo,Jambi,1.50%,"40,408"
Kab. Buol,Sulawesi Tengah,1.01%,"21,635"
Kab. Buru,Maluku,0.52%,"7,302"
Kab. Buru Selatan,Maluku,0.31%,"3,774"
Kab. Buton,Sulawesi Tenggara,0.64%,"10,847"
Kab. Buton Selatan,Sulawesi Tenggara,0.40%,"6,770"
Kab. Buton Tengah,Sulawesi Tenggara,0.48%,"8,259"
Kab. Buton Utara,Sulawesi Tenggara,0.38%,"6,469"
Kab. Ciamis,Jawa Barat,0.28%,"105,468"
Kab. Cianjur,Jawa Barat,0.44%,"165,621"
Kab. Cilacap,Jawa Tengah,0.57%,"164,966"
Kab. Cirebon,Jawa Barat,0.49%,"184,309"
Kab. Dairi,Sumatera Utara,0.31%,"35,650"
Kab. Deiyai,Papua,0.03%,821
Kab. Deli Serdang,Sumatera Utara,1.57%,"179,419"
Kab. Demak,Jawa Tengah,0.67%,"192,385"
Kab. Dharmasraya,Sumatera Barat,1.00%,"44,151"
Kab. Dogiyai,Papua,0.05%,"1,349"
