Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab Pegunungan Bintang,Papua,0.38%,"2,138"
Kab Timor Tengah Selatan,Nusa Tenggara Timur,2.95%,"25,914"
Kab. Aceh Barat,Aceh,1.85%,"17,930"
Kab. Aceh Barat Daya,Aceh,2.66%,"25,771"
Kab. Aceh Besar,Aceh,1.89%,"18,384"
Kab. Aceh Jaya,Aceh,0.78%,"7,536"
Kab. Aceh Selatan,Aceh,2.18%,"21,167"
Kab. Aceh Singkil,Aceh,1.39%,"13,498"
Kab. Aceh Tamiang,Aceh,2.04%,"19,834"
Kab. Aceh Tengah,Aceh,2.79%,"27,087"
Kab. Aceh Tenggara,Aceh,1.67%,"16,169"
Kab. Aceh Timur,Aceh,3.92%,"38,010"
Kab. Aceh Utara,Aceh,3.74%,"36,263"
Kab. Adm. Kep. Seribu,Jakarta Raya,0.65%,"19,417"
Kab. Agam,Sumatera Barat,2.18%,"19,068"
Kab. Alor,Nusa Tenggara Timur,1.12%,"9,820"
Kab. Asahan,Sumatera Utara,1.89%,"42,252"
Kab. Asmat,Papua,1.10%,"6,157"
Kab. Badung,Bali,55.51%,"397,393"
Kab. Balangan,Kalimantan Selatan,1.95%,"13,248"
Kab. Bandung,Jawa Barat,3.11%,"211,174"
Kab. Bandung Barat,Jawa Barat,2.74%,"185,842"
Kab. Banggai,Sulawesi Tengah,5.73%,"27,076"
Kab. Banggai Kepulauan,Sulawesi Tengah,2.01%,"9,500"
Kab. Banggai Laut,Sulawesi Tengah,0.89%,"4,212"
Kab. Bangka,Bangka Belitung,24.84%,"44,706"
Kab. Bangka Barat,Bangka Belitung,9.61%,"17,297"
Kab. Bangka Selatan,Bangka Belitung,5.57%,"10,016"
Kab. Bangka Tengah,Bangka Belitung,13.39%,"24,100"
Kab. Bangkalan,Jawa Timur,0.96%,"45,978"
Kab. Bangli,Bali,18.26%,"130,693"
Kab. Banjar,Kalimantan Selatan,4.76%,"32,300"
Kab. Banjarnegara,Jawa Tengah,1.42%,"78,412"
Kab. Bantaeng,Sulawesi Selatan,1.32%,"19,851"
Kab. Bantul,Yogyakarta,26.37%,"175,048"
Kab. Banyuasin,Sumatera Selatan,4.06%,"49,121"
Kab. Banyumas,Jawa Tengah,2.75%,"151,247"
Kab. Banyuwangi,Jawa Timur,7.80%,"375,155"
Kab. Barito Kuala,Kalimantan Selatan,3.29%,"22,341"
Kab. Barito Selatan,Kalimantan Tengah,4.77%,"19,583"
Kab. Barito Timur,Kalimantan Tengah,4.11%,"16,897"
Kab. Barito Utara,Kalimantan Tengah,4.20%,"17,258"
Kab. Barru,Sulawesi Selatan,1.53%,"23,094"
Kab. Batang,Jawa Tengah,1.27%,"70,088"
Kab. Batanghari,Jambi,9.24%,"49,467"
Kab. Batu Bara,Sumatera Utara,2.70%,"60,263"
Kab. Bekasi,Jawa Barat,3.36%,"227,687"
Kab. Belitung,Bangka Belitung,9.43%,"16,962"
Kab. Belitung Timur,Bangka Belitung,7.54%,"13,571"
Kab. Belu,Nusa Tenggara Timur,2.36%,"20,695"
Kab. Bener Meriah,Aceh,1.97%,"19,127"
Kab. Bengkalis,Riau,5.76%,"55,534"
Kab. Bengkayang,Kalimantan Barat,2.28%,"16,513"
Kab. Bengkulu Selatan,Bengkulu,4.68%,"14,287"
Kab. Bengkulu Tengah,Bengkulu,5.12%,"15,611"
Kab. Bengkulu Utara,Bengkulu,6.78%,"20,690"
Kab. Berau,Kalimantan Timur,4.82%,"28,737"
Kab. Biak Numfor,Papua,3.81%,"21,403"
Kab. Bima,Nusa Tenggara Barat,2.27%,"17,308"
Kab. Bintan,Kepulauan Riau,24.14%,"69,181"
Kab. Bireuen,Aceh,3.71%,"36,023"
Kab. Blitar,Jawa Timur,5.68%,"273,411"
Kab. Blora,Jawa Tengah,1.49%,"82,110"
Kab. Boalemo,Gorontalo,13.13%,"22,041"
Kab. Bogor,Jawa Barat,4.79%,"324,863"
Kab. Bojonegoro,Jawa Timur,2.71%,"130,215"
Kab. Bolaang Mongondow,Sulawesi Utara,4.92%,"19,167"
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,1.46%,"5,695"
Kab. Bolaang Mongondow Timur,Sulawesi Utara,2.69%,"10,474"
Kab. Bolaang Mongondow Utara,Sulawesi Utara,4.14%,"16,117"
Kab. Bombana,Sulawesi Tenggara,5.39%,"24,703"
Kab. Bondowoso,Jawa Timur,1.30%,"62,416"
Kab. Bone,Sulawesi Selatan,4.93%,"74,269"
Kab. Bone Bolango,Gorontalo,15.25%,"25,596"
Kab. Boven Digoel,Papua,0.90%,"5,059"
Kab. Boyolali,Jawa Tengah,1.52%,"83,866"
