Kab/kota,Provinsi,Achievement % Vaksin1,Divaksin 1
Kab Pegunungan Bintang,Papua,0.10%,"2,586"
Kab Timor Tengah Selatan,Nusa Tenggara Timur,0.72%,"27,775"
Kab. Aceh Barat,Aceh,0.64%,"25,826"
Kab. Aceh Barat Daya,Aceh,0.75%,"30,228"
Kab. Aceh Besar,Aceh,0.77%,"31,129"
Kab. Aceh Jaya,Aceh,0.24%,"9,658"
Kab. Aceh Selatan,Aceh,0.67%,"26,953"
Kab. Aceh Singkil,Aceh,0.45%,"18,095"
Kab. Aceh Tamiang,Aceh,0.77%,"31,147"
Kab. Aceh Tengah,Aceh,0.92%,"37,045"
Kab. Aceh Tenggara,Aceh,0.65%,"26,372"
Kab. Aceh Timur,Aceh,1.16%,"46,818"
Kab. Aceh Utara,Aceh,1.16%,"46,756"
Kab. Adm. Kep. Seribu,Jakarta Raya,0.26%,"22,184"
Kab. Agam,Sumatera Barat,0.56%,"24,811"
Kab. Alor,Nusa Tenggara Timur,0.33%,"12,708"
Kab. Asahan,Sumatera Utara,0.44%,"50,651"
Kab. Asmat,Papua,0.33%,"8,572"
Kab. Badung,Bali,13.67%,"465,376"
Kab. Balangan,Kalimantan Selatan,0.51%,"16,262"
Kab. Bandung,Jawa Barat,0.88%,"333,373"
Kab. Bandung Barat,Jawa Barat,0.69%,"262,111"
Kab. Banggai,Sulawesi Tengah,1.49%,"31,723"
Kab. Banggai Kepulauan,Sulawesi Tengah,0.49%,"10,425"
Kab. Banggai Laut,Sulawesi Tengah,0.25%,"5,251"
Kab. Bangka,Bangka Belitung,3.98%,"45,261"
Kab. Bangka Barat,Bangka Belitung,1.99%,"22,591"
Kab. Bangka Selatan,Bangka Belitung,1.34%,"15,201"
Kab. Bangka Tengah,Bangka Belitung,2.60%,"29,617"
Kab. Bangkalan,Jawa Timur,0.23%,"72,856"
Kab. Bangli,Bali,4.57%,"155,717"
Kab. Banjar,Kalimantan Selatan,1.13%,"35,803"
Kab. Banjarnegara,Jawa Tengah,0.32%,"92,733"
Kab. Bantaeng,Sulawesi Selatan,0.45%,"31,940"
Kab. Bantul,Yogyakarta,7.45%,"214,582"
Kab. Banyuasin,Sumatera Selatan,1.00%,"62,904"
Kab. Banyumas,Jawa Tengah,0.70%,"200,542"
Kab. Banyuwangi,Jawa Timur,1.45%,"462,484"
Kab. Barito Kuala,Kalimantan Selatan,0.78%,"24,692"
Kab. Barito Selatan,Kalimantan Tengah,1.07%,"21,705"
Kab. Barito Timur,Kalimantan Tengah,0.87%,"17,786"
Kab. Barito Utara,Kalimantan Tengah,0.95%,"19,277"
Kab. Barru,Sulawesi Selatan,0.42%,"29,726"
Kab. Batang,Jawa Tengah,0.31%,"90,071"
Kab. Batanghari,Jambi,2.58%,"69,361"
Kab. Batu Bara,Sumatera Utara,0.57%,"65,309"
Kab. Bekasi,Jawa Barat,0.97%,"367,039"
Kab. Belitung,Bangka Belitung,2.78%,"31,631"
Kab. Belitung Timur,Bangka Belitung,1.46%,"16,575"
Kab. Belu,Nusa Tenggara Timur,0.76%,"29,131"
Kab. Bener Meriah,Aceh,0.71%,"28,453"
Kab. Bengkalis,Riau,1.18%,"57,155"
Kab. Bengkayang,Kalimantan Barat,0.56%,"21,679"
Kab. Bengkulu Selatan,Bengkulu,1.06%,"16,482"
Kab. Bengkulu Tengah,Bengkulu,1.31%,"20,388"
Kab. Bengkulu Utara,Bengkulu,1.48%,"23,069"
Kab. Berau,Kalimantan Timur,1.15%,"33,099"
Kab. Biak Numfor,Papua,1.03%,"26,603"
Kab. Bima,Nusa Tenggara Barat,0.77%,"29,936"
Kab. Bintan,Kepulauan Riau,5.28%,"83,547"
Kab. Bireuen,Aceh,1.15%,"46,509"
Kab. Blitar,Jawa Timur,0.96%,"306,745"
Kab. Blora,Jawa Tengah,0.41%,"116,590"
Kab. Boalemo,Gorontalo,3.24%,"30,385"
Kab. Bogor,Jawa Barat,1.50%,"569,720"
Kab. Bojonegoro,Jawa Timur,0.53%,"168,557"
Kab. Bolaang Mongondow,Sulawesi Utara,1.16%,"24,172"
Kab. Bolaang Mongondow Selatan,Sulawesi Utara,0.42%,"8,719"
Kab. Bolaang Mongondow Timur,Sulawesi Utara,0.57%,"11,817"
Kab. Bolaang Mongondow Utara,Sulawesi Utara,0.92%,"19,215"
Kab. Bombana,Sulawesi Tenggara,1.28%,"25,685"
Kab. Bondowoso,Jawa Timur,0.26%,"83,396"
Kab. Bone,Sulawesi Selatan,1.24%,"87,553"
Kab. Bone Bolango,Gorontalo,3.20%,"30,034"
Kab. Boven Digoel,Papua,0.28%,"7,184"
Kab. Boyolali,Jawa Tengah,0.50%,"142,645"
Kab. Brebes,Jawa Tengah,0.59%,"169,524"
Kab. Buleleng,Bali,13.83%,"470,769"
Kab. Bulukumba,Sulawesi Selatan,0.71%,"49,901"
Kab. Bulungan,Kalimantan Utara,5.40%,"29,465"
Kab. Bungo,Jambi,1.61%,"43,257"
Kab. Buol,Sulawesi Tengah,1.08%,"23,012"
Kab. Buru,Maluku,0.52%,"7,411"
Kab. Buru Selatan,Maluku,0.30%,"4,307"
Kab. Buton,Sulawesi Tenggara,0.55%,"11,044"
Kab. Buton Selatan,Sulawesi Tenggara,0.35%,"7,038"
Kab. Buton Tengah,Sulawesi Tenggara,0.44%,"8,840"
Kab. Buton Utara,Sulawesi Tenggara,0.33%,"6,606"
Kab. Ciamis,Jawa Barat,0.29%,"108,330"
Kab. Cianjur,Jawa Barat,0.48%,"181,662"
Kab. Cilacap,Jawa Tengah,0.64%,"183,241"
Kab. Cirebon,Jawa Barat,0.54%,"204,851"
Kab. Dairi,Sumatera Utara,0.33%,"38,193"
Kab. Deiyai,Papua,0.03%,860
Kab. Deli Serdang,Sumatera Utara,1.61%,"184,345"
Kab. Demak,Jawa Tengah,0.71%,"202,754"
Kab. Dharmasraya,Sumatera Barat,1.03%,"45,309"
Kab. Dogiyai,Papua,0.05%,"1,349"
Kab. Dompu,Nusa Tenggara Barat,0.58%,"22,660"
Kab. Donggala,Sulawesi Tengah,0.60%,"12,781"
Kab. Empat Lawang,Sumatera Selatan,0.36%,"22,801"
Kab. Ende,Nusa Tenggara Timur,0.42%,"16,127"
Kab. Enrekang,Sulawesi Selatan,0.42%,"29,491"
Kab. Fak Fak,Papua Barat,1.48%,"11,812"
Kab. Flores Timur,Nusa Tenggara Timur,0.42%,"16,108"
Kab. Garut,Jawa Barat,0.57%,"214,744"
Kab. Gayo Lues,Aceh,0.40%,"15,933"
Kab. Gianyar,Bali,9.80%,"333,747"
Kab. Gorontalo,Gorontalo,5.50%,"51,617"
