drilldownGeographic,Persentase_total_vaksin1_pendidik,DrillDownMap,Latitude (generated),Longitude (generated),Divaksin 1
Kalimantan Tengah,36.793153137,MultiPolygon,-1.571078623,113.529180602,"25,278"
Bali,35.347168232,MultiPolygon,-8.473656133,115.138411959,"29,552"
Aceh,11.523763071,MultiPolygon,3.692531012,96.492951043,"21,500"
Kalimantan Timur,45.954110624,MultiPolygon,0.186838309,117.264103540,"38,334"
Kalimantan Barat,25.342348835,MultiPolygon,-0.480872266,110.114503401,"26,723"
Maluku,11.396718934,MultiPolygon,-5.599788367,130.942872444,"6,287"
Banten,40.780695736,MultiPolygon,-6.488589797,105.955829356,"83,808"
Jawa Barat,44.402169998,MultiPolygon,-6.868354221,107.595970396,"363,648"
Bengkulu,16.224951519,MultiPolygon,-3.794219220,102.656170244,"8,785"
Sumatera Selatan,39.044003769,MultiPolygon,-3.360627312,103.952945636,"72,101"
Papua,17.210872127,MultiPolygon,-3.900313928,137.250124664,"8,618"
Papua Barat,17.235271792,MultiPolygon,-1.870280589,132.069359090,"4,087"
Sulawesi Selatan,35.259876870,MultiPolygon,-5.044463329,120.069388382,"81,957"
Kepulauan Bangka Belitung,35.699037735,MultiPolygon,-2.680760569,107.091964140,"10,870"
Jawa Tengah,42.558232129,MultiPolygon,-7.180583817,110.353867302,"278,979"
Nusa Tenggara Timur,27.002221365,MultiPolygon,-9.093339591,121.979126766,"40,600"
Yogyakarta,67.090834054,MultiPolygon,-7.899486582,110.477696563,"68,277"
Kalimantan Utara,34.196500673,MultiPolygon,3.198721505,117.064922922,"6,352"
Jawa Timur,50.641677644,MultiPolygon,-7.512676706,113.319458869,"421,713"
Gorontalo,22.754856317,MultiPolygon,0.663224413,122.352124889,"7,087"
Lampung,32.867739296,MultiPolygon,-5.252326515,104.953683829,"60,263"
Jambi,25.890545394,MultiPolygon,-1.783912402,102.651337094,"24,799"
Maluku Utara,6.494109155,MultiPolygon,-0.140946147,127.409189807,"2,519"
Kepulauan Riau,46.325415412,MultiPolygon,1.404795083,105.177648231,"20,770"
Sumatera Utara,31.226263534,MultiPolygon,1.478487321,98.569544068,"101,461"
Sulawesi Tengah,23.211218586,MultiPolygon,-0.984496975,121.885075407,"20,541"
Sumatera Barat,26.414410215,MultiPolygon,-1.622118437,100.004471233,"40,796"
DKI Jakarta,92.588428665,MultiPolygon,-5.981626004,106.720228229,"140,827"
Sulawesi Tenggara,24.319333120,MultiPolygon,-4.567389221,122.457457783,"18,963"
Sulawesi Barat,25.303971899,MultiPolygon,-2.314504610,119.336384049,"11,238"
Nusa Tenggara Barat,23.968250012,MultiPolygon,-8.613133142,117.614487578,"38,470"
Riau,31.819054758,MultiPolygon,0.765738737,102.076986034,"51,362"
Sulawesi Utara,33.177603810,MultiPolygon,2.104979135,125.071936412,"18,393"
Kalimantan Selatan,42.783856743,MultiPolygon,-3.045438412,116.009272885,"44,535"
