Provinsi,Latitude (generated),Longitude (generated),Divaksin 2
Aceh,3.9124,97.1252,"254,352"
Bali,-8.4555,115.2714,"796,889"
Bangka Belitung,-2.3082,106.029,"115,112"
Banten,-6.4377,106.1342,"680,512"
Bengkulu,-3.6032,102.4738,"102,633"
Gorontalo,0.6726,122.2563,"88,007"
Jakarta Raya,-6.2313,106.8459,"2,384,123"
Jambi,-1.7595,102.5492,"222,830"
Jawa Barat,-6.869,107.6118,"2,633,425"
Jawa Tengah,-7.3085,109.8546,"2,631,793"
Jawa Timur,-7.7688,112.2786,"2,973,632"
Kalimantan Barat,-0.4802,111.106,"230,572"
Kalimantan Selatan,-2.7387,115.5414,"237,945"
Kalimantan Tengah,-1.3755,113.449,"226,455"
Kalimantan Timur,0.0978,116.1289,"299,673"
Kalimantan Utara,2.7253,116.4505,"40,369"
Kepulauan Riau,3.9307,108.1899,"220,062"
Lampung,-4.8343,105.1183,"352,863"
Maluku,-3.3243,130.2245,"76,399"
Maluku Utara,0.6539,127.9319,"43,123"
Nusa Tenggara Barat,-8.5953,117.2712,"210,178"
Nusa Tenggara Timur,-8.5103,120.5974,"264,915"
Papua,-5.3106,139.4134,"158,786"
Papua Barat,-2.2766,134.0471,"63,405"
Riau,0.7045,101.5788,"541,151"
Sulawesi Barat,-2.21,119.4106,"74,760"
Sulawesi Selatan,-3.7965,119.9485,"602,917"
Sulawesi Tengah,-0.9629,122.3906,"139,042"
Sulawesi Tenggara,-3.8409,121.8744,"141,219"
Sulawesi Utara,1.0217,124.6105,"180,497"
Sumatera Barat,-0.7839,100.878,"215,882"
Sumatera Selatan,-3.2787,104.2856,"472,494"
Sumatera Utara,2.2666,99.2632,"924,365"
Yogyakarta,-7.8726,110.4178,"420,851"
