"Month, Day, Year of Tanggal",Provinsi,Divaksin 2
"April 18, 2021",Aceh,8
"April 18, 2021",Bali,"1,814"
"April 18, 2021",Banten,494
"April 18, 2021",Bengkulu,1
"April 18, 2021",Jakarta Raya,"8,212"
"April 18, 2021",Jambi,57
"April 18, 2021",Jawa Barat,686
"April 18, 2021",Jawa Tengah,"1,264"
"April 18, 2021",Jawa Timur,219
"April 18, 2021",Kalimantan Barat,10
"April 18, 2021",Kalimantan Selatan,1
"April 18, 2021",Kalimantan Tengah,29
"April 18, 2021",Kalimantan Timur,413
"April 18, 2021",Kalimantan Utara,5
"April 18, 2021",Kepulauan Riau,14
"April 18, 2021",Lampung,9
"April 18, 2021",Maluku,44
"April 18, 2021",Maluku Utara,0
"April 18, 2021",Nusa Tenggara Barat,8
"April 18, 2021",Nusa Tenggara Timur,41
"April 18, 2021",Papua,9
"April 18, 2021",Papua Barat,2
"April 18, 2021",Riau,367
"April 18, 2021",Sulawesi Barat,1
"April 18, 2021",Sulawesi Selatan,32
"April 18, 2021",Sulawesi Tengah,31
"April 18, 2021",Sulawesi Utara,1
"April 18, 2021",Sumatera Barat,1
"April 18, 2021",Sumatera Selatan,50
"April 18, 2021",Sumatera Utara,172
"April 18, 2021",Yogyakarta,"1,217"
