drilldownGeographic,Provinsi,Persentase_total_vaksin1_pendidik_kumulatif,Divaksin 1
Aceh,Aceh,11.336166928,"21,150"
Bali,Bali,35.185694635,"29,417"
Banten,Banten,40.502849024,"83,237"
Bengkulu,Bengkulu,15.933142488,"8,627"
DKI Jakarta,Jakarta Raya,91.892833662,"139,769"
Gorontalo,Gorontalo,22.616792423,"7,044"
Jambi,Jambi,25.402990061,"24,332"
Jawa Barat,Jawa Barat,44.212667600,"362,096"
Jawa Tengah,Jawa Tengah,42.240318036,"276,895"
Jawa Timur,Jawa Timur,50.472356885,"420,303"
Kalimantan Barat,Kalimantan Barat,25.048365071,"26,413"
Kalimantan Selatan,Kalimantan Selatan,42.438972842,"44,176"
Kalimantan Tengah,Kalimantan Tengah,36.681076518,"25,201"
Kalimantan Timur,Kalimantan Timur,45.800666523,"38,206"
Kalimantan Utara,Kalimantan Utara,33.878869448,"6,293"
Kepulauan Bangka Belitung,Bangka Belitung,35.462576768,"10,798"
Kepulauan Riau,Kepulauan Riau,46.115757779,"20,676"
Lampung,Lampung,32.661030815,"59,884"
Maluku,Maluku,11.219070063,"6,189"
Maluku Utara,Maluku Utara,6.383252984,"2,476"
Nusa Tenggara Barat,Nusa Tenggara Barat,23.509694462,"37,734"
Nusa Tenggara Timur,Nusa Tenggara Timur,26.492770588,"39,834"
Papua,Papua,17.055099555,"8,540"
Papua Barat,Papua Barat,16.851516046,"3,996"
Riau,Riau,31.682143986,"51,141"
Sulawesi Barat,Sulawesi Barat,25.213906151,"11,198"
Sulawesi Selatan,Sulawesi Selatan,35.112740226,"81,615"
Sulawesi Tengah,Sulawesi Tengah,23.065449286,"20,412"
Sulawesi Tenggara,Sulawesi Tenggara,24.175697339,"18,851"
Sulawesi Utara,Sulawesi Utara,32.968361052,"18,277"
Sumatera Barat,Sumatera Barat,25.906789428,"40,012"
Sumatera Selatan,Sumatera Selatan,38.945447456,"71,919"
Sumatera Utara,Sumatera Utara,31.092077483,"101,025"
Yogyakarta,Yogyakarta,66.892343369,"68,075"
